"Player","year","rz_ATT","rz_YDS_rush","rz_Y/A","rz_TD_rush","rz_PCT","rz_REC","rz_TGT","rz_REC PCT","rz_YDS_rec","rz_Y/R","rz_TD_rec","rz_TGT PCT","rz_FL","rz_G","rz_FPTS","rz_FPTS/G","rz_ROST %","rz_TD_total","rz_YDS_total"
Todd Gurley,2018,64,204,3.2,17,"87.7%",9,19,"47.4%",78,8.7,3,"95.0%",0,14,157.2,11.2,"0.1%",20,282
Alvin Kamara,2018,51,174,3.4,13,"63.0%",21,26,"80.8%",128,6.1,3,"78.8%",0,15,147.2,9.8,"97.1%",16,302
Christian McCaffrey,2018,46,134,2.9,7,"82.1%",14,16,"87.5%",90,6.4,5,"94.1%",1,16,106.4,6.7,"100.0%",12,224
Melvin GordonI,2018,23,128,5.6,8,"48.9%",8,13,"61.5%",33,4.1,3,"65.0%",0,12,90.1,7.5,"0.0%",11,161
James Conner,2018,34,90,2.6,10,"75.6%",6,7,"85.7%",36,6.0,1,"53.8%",0,13,84.6,6.5,"91.2%",11,126
Saquon Barkley,2018,44,82,1.9,6,"83.0%",11,15,"73.3%",69,6.3,3,"78.9%",0,16,80.1,5.0,"100.0%",9,151
James White,2018,21,30,1.4,3,"26.3%",14,20,"70.0%",88,6.3,6,"66.7%",0,16,79.8,5.0,"0.1%",9,118
Derrick Henry,2018,43,168,3.9,10,"65.2%",2,2,"100.0%",2,1.0,0,"20.0%",0,16,79.0,4.9,"99.9%",10,170
Kareem Hunt,2018,27,69,2.6,7,"56.3%",6,9,"66.7%",54,9.0,3,"40.9%",0,11,78.3,7.1,"0.7%",10,123
Ezekiel Elliott,2018,39,105,2.7,5,"90.7%",12,17,"70.6%",70,5.8,2,"85.0%",0,15,71.5,4.8,"80.7%",7,175
Joe Mixon,2018,32,82,2.6,8,"78.0%",5,8,"62.5%",36,7.2,1,"88.9%",0,14,70.8,5.1,"98.8%",9,118
David Johnson,2018,27,76,2.8,7,"77.1%",6,10,"60.0%",32,5.3,1,"83.3%",0,16,64.8,4.1,"0.0%",8,108
Chris Carson,2018,40,101,2.5,8,"57.1%",3,3,"100.0%",15,5.0,0,"50.0%",0,14,62.6,4.5,"0.3%",8,116
Marlon Mack,2018,32,96,3.0,8,"53.3%",2,2,"100.0%",11,5.5,0,"12.5%",0,12,60.7,5.1,"0.0%",8,107
Alex Collins,2018,21,94,4.5,7,"40.4%",3,5,"60.0%",17,5.7,1,"45.5%",1,10,60.1,6.0,"19.0%",8,111
Tarik Cohen,2018,11,51,4.6,1,"26.2%",11,14,"78.6%",76,6.9,4,"66.7%",0,16,57.7,3.6,"0.0%",5,127
Nick Chubb,2018,26,57,2.2,5,"50.0%",4,4,"100.0%",39,9.8,2,"30.8%",0,16,55.6,3.5,"82.9%",7,96
Jordan Howard,2018,30,95,3.2,7,"71.4%",3,5,"60.0%",6,2.0,0,"23.8%",1,16,53.1,3.3,"0.0%",7,101
Phillip Lindsay,2018,29,87,3.0,6,"59.2%",4,5,"80.0%",23,5.8,0,"45.5%",0,15,51.0,3.4,"0.0%",6,110
Aaron Jones,2018,18,88,4.9,6,"47.4%",2,3,"66.7%",9,4.5,0,"30.0%",0,12,47.7,4.0,"94.7%",6,97
Tevin Coleman,2018,16,39,2.4,1,"38.1%",8,10,"80.0%",51,6.4,4,"62.5%",0,16,47.0,2.9,"0.0%",5,90
Mark Ingram,2018,26,92,3.5,6,"32.1%",1,1,"100.0%",1,1.0,0,"3.0%",0,12,46.3,3.9,"0.1%",6,93
Peyton Barber,2018,36,78,2.2,5,"80.0%",2,5,"40.0%",12,6.0,1,"31.3%",1,16,45.0,2.8,"1.0%",6,90
Leonard Fournette,2018,22,40,1.8,5,"61.1%",3,3,"100.0%",17,5.7,1,"25.0%",0,8,44.7,5.6,"2.1%",6,57
Adrian Peterson,2018,31,55,1.8,5,"73.8%",2,3,"66.7%",15,7.5,1,"33.3%",1,16,43.0,2.7,"2.4%",6,70
Nyheim Hines,2018,22,54,2.5,2,"36.7%",8,9,"88.9%",47,5.9,2,"56.3%",0,16,42.1,2.6,"0.8%",4,101
Sony Michel,2018,41,103,2.5,5,"51.3%",1,1,"100.0%",7,7.0,0,"3.3%",0,13,42.0,3.2,"0.0%",5,110
Damien Williams,2018,7,24,3.4,3,"14.6%",7,7,"100.0%",24,3.4,2,"31.8%",0,16,41.8,2.6,"0.0%",5,48
Javorius Allen,2018,11,12,1.1,3,"21.2%",6,6,"100.0%",36,6.0,2,"54.5%",0,14,40.8,2.9,"0.1%",5,48
Matt Breida,2018,23,62,2.7,2,"38.3%",4,4,"100.0%",37,9.3,2,"26.7%",0,14,37.9,2.7,"0.1%",4,99
Ito Smith,2018,21,58,2.8,4,"50.0%",3,4,"75.0%",21,7.0,0,"25.0%",0,14,34.9,2.5,"0.0%",4,79
Royce Freeman,2018,18,49,2.7,5,"36.7%",0,0,"0%",0,0.0,0,"0.0%",0,14,34.9,2.5,"0.4%",5,49
Kerryon Johnson,2018,17,58,3.4,3,"30.4%",3,6,"50.0%",19,6.3,1,"33.3%",0,10,34.7,3.5,"0.0%",4,77
Wendell Smallwood,2018,14,43,3.1,3,"22.2%",3,5,"60.0%",28,9.3,1,"38.5%",0,16,34.1,2.1,"0.0%",4,71
Carlos Hyde,2018,22,38,1.7,5,"42.3%",0,1,"0.0%",0,0.0,0,"7.7%",0,14,33.8,2.4,"0.0%",5,38
TJ Yeldon,2018,12,44,3.7,1,"33.3%",3,6,"50.0%",21,7.0,3,"50.0%",0,14,33.5,2.4,"0.0%",4,65
Mike Davis,2018,20,76,3.8,3,"28.6%",1,1,"100.0%",3,3.0,1,"16.7%",0,15,32.9,2.2,"1.0%",4,79
LeGarrette Blount,2018,25,25,1.0,5,"44.6%",0,0,"0%",0,0.0,0,"0.0%",0,16,32.5,2.0,"0.1%",5,25
Latavius Murray,2018,21,52,2.5,4,"53.8%",2,2,"100.0%",10,5.0,0,"28.6%",0,16,32.2,2.0,"0.0%",4,62
Kenyan Drake,2018,12,49,4.1,3,"42.9%",3,7,"42.9%",16,5.3,1,"58.3%",1,16,31.5,2.0,"0.0%",4,65
Elijah McGuire,2018,12,28,2.3,3,"28.6%",1,2,"50.0%",20,20.0,1,"40.0%",0,8,29.8,3.7,"0.0%",4,48
Duke Johnson,2018,4,9,2.3,0,"7.7%",6,8,"75.0%",43,7.2,3,"61.5%",0,16,29.2,1.8,"0.0%",3,52
Lamar Miller,2018,29,35,1.2,3,"65.9%",1,2,"50.0%",4,4.0,1,"33.3%",0,14,28.9,2.1,"0.0%",4,39
Doug Martin,2018,31,91,2.9,3,"50.0%",1,2,"50.0%",6,6.0,0,"16.7%",0,16,28.7,1.8,"0.0%",3,97
Jaylen Samuels,2018,7,19,2.7,0,"15.6%",5,5,"100.0%",35,7.0,3,"38.5%",0,14,28.4,2.0,"0.0%",3,54
Isaiah Crowell,2018,16,43,2.7,4,"38.1%",0,1,"0.0%",0,0.0,0,"20.0%",0,13,28.3,2.2,"0.1%",4,43
Austin Ekeler,2018,15,43,2.9,2,"31.9%",4,5,"80.0%",28,7.0,1,"25.0%",1,14,27.1,1.9,"84.3%",3,71
Dion Lewis,2018,23,41,1.8,1,"34.8%",7,8,"87.5%",38,5.4,1,"80.0%",0,16,26.9,1.7,"2.0%",2,79
James Develin,2018,4,6,1.5,4,"5.0%",1,1,"100.0%",-1,-1.0,0,"3.3%",0,16,25.5,1.6,"0.0%",4,5
Marshawn Lynch,2018,15,29,1.9,3,"24.2%",4,5,"80.0%",5,1.3,0,"41.7%",0,6,25.4,4.2,"0.3%",3,34
Jamaal Williams,2018,14,25,1.8,3,"36.8%",2,3,"66.7%",12,6.0,0,"30.0%",0,16,23.7,1.5,"2.8%",3,37
Giovani Bernard,2018,8,23,2.9,3,"19.5%",1,1,"100.0%",14,14.0,0,"11.1%",0,12,22.7,1.9,"0.0%",3,37
Corey Clement,2018,16,57,3.6,2,"25.4%",2,2,"100.0%",13,6.5,0,"15.4%",0,11,21.0,1.9,"0.0%",2,70
Kapri Bibbs,2018,7,23,3.3,3,"16.7%",0,0,"0%",0,0.0,0,"0.0%",0,12,20.3,1.7,"0.1%",3,23
Jay Ajayi,2018,11,28,2.5,3,"17.5%",1,2,"50.0%",4,4.0,0,"15.4%",1,4,20.2,5.1,"7.0%",3,32
Rashaad Penny,2018,9,52,5.8,2,"12.9%",1,1,"100.0%",4,4.0,0,"16.7%",0,14,18.6,1.3,"0.1%",2,56
Zach Line,2018,1,-1,-1.0,0,"1.2%",5,6,"83.3%",14,2.8,2,"18.2%",0,16,18.3,1.1,"0.0%",2,13
Gus Edwards,2018,15,52,3.5,2,"28.8%",0,0,"0%",0,0.0,0,"0.0%",0,11,17.2,1.6,"75.4%",2,52
Darren Sproles,2018,5,21,4.2,1,"7.9%",2,4,"50.0%",9,4.5,1,"30.8%",0,6,17.0,2.8,"0.1%",2,30
Alfred Blue,2018,14,16,1.1,2,"31.8%",2,3,"66.7%",7,3.5,0,"50.0%",0,16,16.3,1.0,"0.0%",2,23
Josh Adams,2018,17,40,2.4,2,"27.0%",0,0,"0%",0,0.0,0,"0.0%",0,16,16.0,1.0,"0.0%",2,40
Cordarrelle Patterson,2018,9,25,2.8,1,"11.3%",1,3,"33.3%",1,1.0,1,"10.0%",0,15,15.6,1.0,"0.9%",2,26
Spencer Ware,2018,12,21,1.8,2,"25.0%",1,2,"50.0%",4,4.0,0,"9.1%",0,13,15.5,1.2,"0.0%",2,25
Frank Gore,2018,13,41,3.2,0,"46.4%",3,3,"100.0%",22,7.3,1,"25.0%",0,14,15.3,1.1,"12.1%",1,63
Jordan Wilkins,2018,4,25,6.3,1,"6.7%",5,5,"100.0%",17,3.4,0,"31.3%",0,16,15.2,1.0,"0.0%",1,42
Jacquizz Rodgers,2018,4,13,3.3,1,"8.9%",5,6,"83.3%",28,5.6,0,"37.5%",0,16,15.1,0.9,"0.0%",1,41
Dalvin Cook,2018,15,25,1.7,1,"38.5%",2,2,"100.0%",6,3.0,1,"28.6%",1,11,15.1,1.4,"0.7%",2,31
Justin Jackson,2018,5,30,6.0,2,"10.6%",0,2,"0.0%",0,0.0,0,"10.0%",0,13,15.0,1.2,"0.0%",2,30
Chase Edmonds,2018,8,28,3.5,2,"22.9%",0,0,"0%",0,0.0,0,"0.0%",0,16,14.8,0.9,"0.5%",2,28
Brandon Bolden,2018,2,13,6.5,1,"7.1%",1,1,"100.0%",4,4.0,1,"8.3%",0,16,14.7,0.9,"0.0%",2,17
Zach Zenner,2018,6,25,4.2,2,"10.7%",0,0,"0%",0,0.0,0,"0.0%",0,8,14.5,1.8,"0.0%",2,25
Jalen Richard,2018,8,34,4.3,1,"12.9%",3,4,"75.0%",20,6.7,0,"33.3%",0,16,14.4,0.9,"1.0%",1,54
Devontae Booker,2018,2,17,8.5,1,"4.1%",4,6,"66.7%",23,5.8,0,"54.5%",0,16,14.0,0.9,"0.0%",1,40
Theo Riddick,2018,8,21,2.6,0,"14.3%",8,10,"80.0%",39,4.9,0,"55.6%",0,14,14.0,1.0,"0.0%",0,60
Kenneth Dixon,2018,5,12,2.4,2,"9.6%",0,0,"0%",0,0.0,0,"0.0%",0,6,13.2,2.2,"0.1%",2,12
Alex Armah,2018,4,2,0.5,2,"7.1%",0,0,"0%",0,0.0,0,"0.0%",0,16,12.2,0.8,"0.0%",2,2
Chris Thompson,2018,3,1,0.3,0,"7.1%",3,4,"75.0%",24,8.0,1,"44.4%",0,10,11.5,1.2,"0.0%",1,25
LeSean McCoy,2018,20,37,1.9,1,"52.6%",1,1,"100.0%",3,3.0,0,"33.3%",0,14,11.0,0.8,"2.0%",1,40
Malcolm Brown,2018,8,16,2.0,0,"11.0%",1,1,"100.0%",18,18.0,1,"5.0%",0,12,10.4,0.9,"0.0%",1,34
CJ Anderson,2018,6,28,4.7,1,"10.7%",1,1,"100.0%",-5,-5.0,0,"5.9%",0,11,9.3,0.8,"1.0%",1,23
Ronald Jones,2018,5,13,2.6,1,"11.1%",1,2,"50.0%",5,5.0,0,"12.5%",0,9,8.8,1.0,"0.0%",1,18
Ty Montgomery,2018,6,28,4.7,1,"15.8%",0,3,"0.0%",0,0.0,0,"30.0%",0,13,8.8,0.7,"0.0%",1,28
D'Onta Foreman,2018,1,-3,-3.0,0,"2.3%",1,1,"100.0%",20,20.0,1,"16.7%",0,1,8.7,8.7,"2.8%",1,17
Darrel Williams,2018,1,5,5.0,0,"2.1%",1,1,"100.0%",11,11.0,1,"4.5%",0,6,8.6,1.4,"0.0%",1,16
Jeff Wilson,2018,11,48,4.4,0,"18.3%",4,5,"80.0%",18,4.5,0,"33.3%",1,6,8.6,1.4,"0.6%",0,66
Taquan Mizzell,2018,1,0,0.0,0,"2.4%",1,2,"50.0%",10,10.0,1,"9.5%",0,9,8.0,0.9,"0.0%",1,10
Chris Ivory,2018,9,7,0.8,1,"23.7%",0,0,"0%",0,0.0,0,"0.0%",0,13,6.7,0.5,"0.0%",1,7
Trenton Cannon,2018,4,7,1.8,1,"9.5%",0,1,"0.0%",0,0.0,0,"20.0%",0,16,6.7,0.4,"0.0%",1,7
Alfred Morris,2018,22,22,1.0,1,"36.7%",0,0,"0%",0,0.0,0,"0.0%",1,12,6.2,0.5,"0.0%",1,22
Stevan Ridley,2018,4,2,0.5,1,"8.9%",0,0,"0%",0,0.0,0,"0.0%",0,10,6.2,0.6,"0.0%",1,2
Kyle Juszczyk,2018,3,2,0.7,0,"5.0%",3,6,"50.0%",19,6.3,0,"40.0%",0,16,5.1,0.3,"0.7%",0,21
Marcus Murphy,2018,8,15,1.9,0,"21.1%",2,2,"100.0%",5,2.5,0,"66.7%",0,11,4.0,0.4,"0.0%",0,20
Anthony Sherman,2018,0,0,0.0,0,"0.0%",2,3,"66.7%",14,7.0,0,"13.6%",0,16,3.4,0.2,"0.0%",0,14
Corey Grant,2018,0,0,0.0,0,"0.0%",2,2,"100.0%",11,5.5,0,"16.7%",0,5,3.1,0.6,"0.0%",0,11
Wayne Gallman,2018,9,27,3.0,0,"17.0%",0,3,"0.0%",0,0.0,0,"15.8%",0,15,2.7,0.2,"0.0%",0,27
DeAndre Washington,2018,7,21,3.0,0,"11.3%",0,0,"0%",0,0.0,0,"0.0%",0,10,2.1,0.2,"11.0%",0,21
Rex Burkhead,2018,2,5,2.5,0,"2.5%",1,5,"20.0%",6,6.0,0,"16.7%",0,8,2.1,0.3,"10.0%",0,11
Ameer Abdullah,2018,0,0,0.0,0,"0.0%",1,1,"100.0%",10,10.0,0,"14.3%",0,10,2.0,0.2,"0.5%",0,10
Rod Smith,2018,4,7,1.8,0,"9.3%",1,1,"100.0%",0,0.0,0,"5.0%",0,16,1.7,0.1,"0.0%",0,7
Byron Marshall,2018,1,1,1.0,0,"2.4%",1,1,"100.0%",6,6.0,0,"11.1%",0,6,1.7,0.3,"0.1%",0,7
Shaun Wilson,2018,0,0,0.0,0,"0.0%",1,3,"33.3%",5,5.0,0,"18.8%",0,5,1.5,0.3,"0.0%",0,5
Jamize Olawale,2018,0,0,0.0,0,"0.0%",1,2,"50.0%",3,3.0,0,"10.0%",0,16,1.3,0.1,"0.0%",0,3
TJ Logan,2018,0,0,0.0,0,"0.0%",1,1,"100.0%",3,3.0,0,"8.3%",0,10,1.3,0.1,"0.0%",0,3
Elijhaa Penny,2018,0,0,0.0,0,"0.0%",1,1,"100.0%",3,3.0,0,"5.3%",0,14,1.3,0.1,"0.0%",0,3
Keith Smith,2018,1,0,0.0,0,"1.6%",1,1,"100.0%",2,2.0,0,"8.3%",0,16,1.2,0.1,"0.0%",0,2
Samaje Perine,2018,0,0,0.0,0,"0.0%",1,1,"100.0%",0,0.0,0,"11.1%",0,5,1.0,0.2,"0.9%",0,0
Kenjon Barner,2018,3,8,2.7,0,"3.8%",0,0,"0%",0,0.0,0,"0.0%",0,9,0.8,0.1,"0.0%",0,8
Mike Gillislee,2018,2,8,4.0,0,"2.5%",0,0,"0%",0,0.0,0,"0.0%",0,4,0.8,0.2,"0.0%",0,8
Detrez Newsome,2018,3,7,2.3,0,"6.4%",0,0,"0%",0,0.0,0,"0.0%",0,9,0.7,0.1,"0.0%",0,7
Jeremy McNichols,2018,1,7,7.0,0,"1.7%",0,0,"0%",0,0.0,0,"0.0%",0,1,0.7,0.7,"0.0%",0,7
JD McKissic,2018,1,6,6.0,0,"1.4%",0,1,"0.0%",0,0.0,0,"16.7%",0,5,0.6,0.1,"0.0%",0,6
Kalen Ballage,2018,1,-2,-2.0,0,"3.6%",1,1,"100.0%",-3,-3.0,0,"8.3%",0,12,0.5,0.0,"0.0%",0,-5
Mark Walton,2018,1,4,4.0,0,"2.4%",0,0,"0%",0,0.0,0,"0.0%",0,14,0.4,0.0,"2.0%",0,4
John Kelly,2018,1,4,4.0,0,"1.4%",0,0,"0%",0,0.0,0,"0.0%",0,4,0.4,0.1,"0.0%",0,4
Brandon Wilds,2018,1,4,4.0,0,"2.8%",0,0,"0%",0,0.0,0,"0.0%",0,3,0.4,0.1,"0.0%",0,4
Devonta Freeman,2018,3,4,1.3,0,"7.1%",0,1,"0.0%",0,0.0,0,"6.3%",0,2,0.4,0.2,"0.0%",0,4
Bilal Powell,2018,10,4,0.4,0,"23.8%",0,1,"0.0%",0,0.0,0,"20.0%",0,7,0.4,0.1,"0.0%",0,4
Brian Hill,2018,2,4,2.0,0,"4.8%",0,1,"0.0%",0,0.0,0,"6.3%",0,10,0.4,0.0,"0.0%",0,4
Robert Turbin,2018,1,3,3.0,0,"1.7%",0,0,"0%",0,0.0,0,"0.0%",0,2,0.3,0.2,"0.0%",0,3
Roc Thomas,2018,2,2,1.0,0,"5.1%",0,2,"0.0%",0,0.0,0,"28.6%",0,5,0.2,0.0,"0.0%",0,2
Charcandrick West,2018,1,1,1.0,0,"2.1%",0,0,"0%",0,0.0,0,"0.0%",0,3,0.1,0.0,"0.0%",0,1
Danny Vitale,2018,0,0,0.0,0,"0.0%",0,1,"0.0%",0,0.0,0,"10.0%",0,5,0.0,0.0,"0.0%",0,0
Tommy Bohanon,2018,1,0,0.0,0,"2.8%",0,1,"0.0%",0,0.0,0,"8.3%",0,16,0.0,0.0,"0.0%",0,0
Patrick Ricard,2018,0,0,0.0,0,"0.0%",0,0,"0%",0,0.0,0,"0.0%",0,10,0.0,0.0,"0.1%",0,0
Derrick Coleman,2018,0,0,0.0,0,"0.0%",0,1,"0.0%",0,0.0,0,"8.3%",0,16,0.0,0.0,"0.1%",0,0
Senorise Perry,2018,0,0,0.0,0,"0.0%",0,0,"0%",0,0.0,0,"0.0%",0,16,0.0,0.0,"0.0%",0,0
Roosevelt Nix,2018,0,0,0.0,0,"0.0%",0,1,"0.0%",0,0.0,0,"7.7%",0,16,0.0,0.0,"0.0%",0,0
Raheem Mostert,2018,1,0,0.0,0,"1.7%",0,0,"0%",0,0.0,0,"0.0%",0,9,0.0,0.0,"89.8%",0,0
Derek Watt,2018,1,0,0.0,0,"2.1%",0,0,"0%",0,0.0,0,"0.0%",0,16,0.0,0.0,"0.0%",0,0
CJ Ham,2018,1,0,0.0,0,"2.6%",0,0,"0%",0,0.0,0,"0.0%",0,15,0.0,0.0,"0.1%",0,0
Keith Ford,2018,1,0,0.0,0,"2.6%",0,0,"0%",0,0.0,0,"0.0%",0,2,0.0,0.0,"0.1%",0,0
Jonathan Williams,2018,1,-1,-1.0,0,"1.2%",0,0,"0%",0,0.0,0,"0.0%",0,3,-0.1,0.0,"0.0%",0,-1
Aaron Jones,2019,32,113,3.5,14,"69.6%",10,11,"90.9%",42,4.2,1,"55.0%",0,16,115.5,7.2,"94.7%",15,155
Christian McCaffrey,2019,55,155,2.8,10,"96.5%",10,13,"76.9%",66,6.6,3,"92.9%",0,16,110.1,6.9,"100.0%",13,221
Mark Ingram,2019,40,130,3.3,10,"55.6%",6,6,"100.0%",42,7.0,4,"60.0%",0,15,107.2,7.1,"0.1%",14,172
Todd Gurley,2019,50,140,2.8,12,"74.6%",3,5,"60.0%",8,2.7,2,"100.0%",1,15,99.8,6.7,"0.1%",14,148
Ezekiel Elliott,2019,59,177,3.0,11,"96.7%",5,10,"50.0%",34,6.8,1,"62.5%",0,16,98.1,6.1,"80.7%",12,211
Dalvin Cook,2019,47,124,2.6,12,"55.3%",3,3,"100.0%",12,4.0,0,"37.5%",0,14,88.6,6.3,"0.7%",12,136
Derrick Henry,2019,38,126,3.3,11,"90.5%",1,1,"100.0%",6,6.0,0,"14.3%",0,15,80.2,5.3,"99.9%",11,132
Chris Carson,2019,41,111,2.7,7,"71.9%",2,2,"100.0%",15,7.5,2,"33.3%",0,15,68.6,4.6,"0.3%",9,126
Melvin GordonI,2019,29,72,2.5,7,"51.8%",4,5,"80.0%",12,3.0,1,"22.7%",1,12,58.4,4.9,"0.0%",8,84
Josh Jacobs,2019,42,134,3.2,7,"75.0%",2,3,"66.7%",7,3.5,0,"30.0%",1,13,56.1,4.3,"99.0%",7,141
Jordan Howard,2019,22,86,3.9,6,"36.7%",2,2,"100.0%",26,13.0,1,"14.3%",0,10,55.2,5.5,"0.0%",7,112
Austin Ekeler,2019,16,20,1.3,3,"28.6%",9,12,"75.0%",60,6.7,4,"54.5%",2,16,55.0,3.4,"84.3%",7,80
Joe Mixon,2019,35,85,2.4,3,"77.8%",7,7,"100.0%",18,2.6,3,"46.7%",0,16,53.3,3.3,"98.8%",6,103
Devonta Freeman,2019,20,80,4.0,2,"40.0%",6,7,"85.7%",45,7.5,4,"53.8%",1,14,52.5,3.8,"0.0%",6,125
James White,2019,13,28,2.2,1,"19.1%",17,20,"85.0%",84,4.9,3,"69.0%",0,15,52.2,3.5,"0.1%",4,112
Jamaal Williams,2019,13,32,2.5,1,"28.3%",7,8,"87.5%",50,7.1,5,"40.0%",0,14,51.2,3.7,"2.8%",6,82
Tevin Coleman,2019,28,72,2.6,5,"45.9%",4,7,"57.1%",35,8.8,1,"36.8%",0,14,50.7,3.6,"0.0%",6,107
Peyton Barber,2019,20,51,2.6,6,"41.7%",2,2,"100.0%",14,7.0,1,"20.0%",0,16,50.5,3.2,"1.0%",7,65
Nick Chubb,2019,50,86,1.7,6,"84.7%",1,4,"25.0%",1,1.0,0,"57.1%",0,16,45.7,2.9,"82.9%",6,87
Sony Michel,2019,40,73,1.8,6,"58.8%",1,5,"20.0%",-1,-1.0,0,"17.2%",0,16,44.2,2.8,"0.0%",6,72
Miles Sanders,2019,26,76,2.9,2,"43.3%",8,10,"80.0%",46,5.8,2,"71.4%",0,16,44.2,2.8,"5.3%",4,122
Ronald Jones,2019,20,59,3.0,6,"41.7%",1,1,"100.0%",2,2.0,0,"10.0%",0,16,43.1,2.7,"0.0%",6,61
Phillip Lindsay,2019,30,84,2.8,5,"52.6%",3,6,"50.0%",17,5.7,0,"37.5%",0,16,43.1,2.7,"0.0%",5,101
Kenyan Drake,2019,19,52,2.7,6,"36.5%",2,3,"66.7%",18,9.0,0,"18.8%",1,14,43.0,3.1,"0.0%",6,70
Carlos Hyde,2019,35,92,2.6,5,"79.5%",2,4,"50.0%",11,5.5,0,"26.7%",0,16,42.3,2.6,"0.0%",5,103
