"Player","year","rz_ATT","rz_YDS_rush","rz_Y/A","rz_TD_rush","rz_PCT","rz_REC","rz_TGT","rz_REC PCT","rz_YDS_rec","rz_Y/R","rz_TD_rec","rz_TGT PCT","rz_FL","rz_G","rz_FPTS","rz_FPTS/G","rz_ROST %","rz_TD_total","rz_YDS_total"
David Montgomery,2019,26,37,1.4,5,"72.2%",2,2,"100.0%",6,3.0,1,"11.1%",0,16,42.3,2.6,"93.4%",6,43
Latavius Murray,2019,21,73,3.5,3,"43.8%",6,8,"75.0%",35,5.8,1,"38.1%",0,16,40.8,2.6,"0.0%",4,108
Adrian Peterson,2019,23,64,2.8,5,"60.5%",2,2,"100.0%",20,10.0,0,"15.4%",0,16,40.4,2.5,"2.4%",5,84
James Conner,2019,14,42,3.0,4,"28.6%",5,5,"100.0%",10,2.0,1,"35.7%",0,10,40.2,4.0,"91.2%",5,52
Duke Johnson,2019,9,33,3.7,1,"20.5%",6,11,"54.5%",64,10.7,3,"73.3%",0,16,39.7,2.5,"0.0%",4,97
Marlon Mack,2019,32,85,2.7,5,"55.2%",1,1,"100.0%",2,2.0,0,"14.3%",0,14,39.7,2.8,"0.0%",5,87
LeSean McCoy,2019,19,43,2.3,4,"33.9%",3,5,"60.0%",23,7.7,1,"27.8%",0,13,39.6,3.0,"2.0%",5,66
Le'Veon Bell,2019,19,41,2.2,3,"76.0%",6,9,"66.7%",31,5.2,1,"69.2%",0,15,37.2,2.5,"0.2%",4,72
Leonard Fournette,2019,46,64,1.4,3,"88.5%",8,11,"72.7%",46,5.8,0,"91.7%",0,15,37.0,2.5,"2.1%",3,110
Royce Freeman,2019,26,70,2.7,3,"45.6%",4,6,"66.7%",14,3.5,1,"37.5%",0,16,36.4,2.3,"0.4%",4,84
Saquon Barkley,2019,31,81,2.6,3,"70.5%",3,6,"50.0%",7,2.3,1,"66.7%",0,13,35.8,2.8,"100.0%",4,88
Damien Williams,2019,13,24,1.8,2,"23.2%",5,7,"71.4%",38,7.6,2,"38.9%",0,11,35.2,3.2,"0.0%",4,62
Raheem Mostert,2019,11,73,6.6,4,"18.0%",2,2,"100.0%",18,9.0,0,"10.5%",0,16,35.1,2.2,"89.8%",4,91
David Johnson,2019,17,28,1.6,2,"70.8%",6,6,"100.0%",38,6.3,2,"50.0%",1,13,34.6,2.7,"0.0%",4,66
Alvin Kamara,2019,25,82,3.3,2,"52.1%",9,13,"69.2%",40,4.4,0,"61.9%",0,14,33.2,2.4,"97.1%",2,122
Tarik Cohen,2019,7,22,3.1,0,"19.4%",5,8,"62.5%",35,7.0,3,"44.4%",0,16,28.7,1.8,"0.0%",3,57
Darrel Williams,2019,11,11,1.0,3,"19.6%",2,2,"100.0%",14,7.0,1,"11.1%",0,12,28.5,2.4,"0.0%",4,25
Malcolm Brown,2019,15,43,2.9,4,"22.4%",0,0,"0%",0,0.0,0,"0.0%",0,14,28.3,2.0,"0.0%",4,43
Chase Edmonds,2019,7,45,6.4,2,"29.2%",4,6,"66.7%",18,4.5,1,"50.0%",0,13,28.3,2.2,"0.5%",3,63
Jeff Wilson,2019,16,41,2.6,4,"26.2%",0,1,"0.0%",0,0.0,0,"5.3%",0,11,28.1,2.6,"0.6%",4,41
Qadree Ollison,2019,9,22,2.4,4,"18.0%",0,0,"0%",0,0.0,0,"0.0%",0,8,26.2,3.3,"0.0%",4,22
DeAndre Washington,2019,10,33,3.3,3,"17.9%",2,2,"100.0%",18,9.0,0,"20.0%",0,16,25.1,1.6,"11.0%",3,51
Wayne Gallman,2019,6,10,1.7,2,"13.6%",3,3,"100.0%",22,7.3,1,"33.3%",0,10,24.2,2.4,"0.0%",3,32
Kalen Ballage,2019,16,35,2.2,3,"30.8%",2,5,"40.0%",-2,-1.0,0,"31.3%",0,12,23.3,1.9,"0.0%",3,33
Kareem Hunt,2019,4,15,3.8,2,"6.8%",1,2,"50.0%",15,15.0,1,"28.6%",0,9,22.0,2.4,"0.7%",3,30
Jaylen Samuels,2019,11,11,1.0,1,"22.4%",6,8,"75.0%",12,2.0,1,"57.1%",0,14,20.5,1.5,"0.0%",2,23
Devin Singletary,2019,18,64,3.6,2,"39.1%",2,5,"40.0%",-5,-2.5,0,"83.3%",0,12,19.9,1.7,"84.1%",2,59
Brandon Bolden,2019,5,18,3.6,3,"7.4%",0,0,"0%",0,0.0,0,"0.0%",0,15,19.8,1.3,"0.0%",3,18
Dare Ogunbowale,2019,7,2,0.3,2,"14.6%",4,7,"57.1%",28,7.0,0,"70.0%",0,16,19.0,1.2,"0.3%",2,30
Rex Burkhead,2019,9,18,2.0,2,"13.2%",3,4,"75.0%",17,5.7,0,"13.8%",0,13,18.5,1.4,"10.0%",2,35
Nyheim Hines,2019,7,23,3.3,2,"12.1%",3,5,"60.0%",11,3.7,0,"71.4%",0,16,18.4,1.2,"0.8%",2,34
Kyle Juszczyk,2019,1,-1,-1.0,0,"1.6%",7,7,"100.0%",51,7.3,1,"36.8%",0,12,18.0,1.5,"0.7%",1,50
Brian Hill,2019,10,37,3.7,1,"20.0%",1,3,"33.3%",10,10.0,1,"23.1%",0,12,17.7,1.5,"0.0%",2,47
Rashaad Penny,2019,8,29,3.6,1,"14.0%",1,2,"50.0%",13,13.0,1,"33.3%",0,10,17.2,1.7,"0.1%",2,42
Jordan Wilkins,2019,11,35,3.2,2,"19.0%",0,1,"0.0%",0,0.0,0,"14.3%",0,14,15.5,1.1,"0.0%",2,35
Boston Scott,2019,8,35,4.4,2,"13.3%",0,0,"0%",0,0.0,0,"0.0%",0,11,15.5,1.4,"0.1%",2,35
Alexander Mattison,2019,27,114,4.2,1,"31.8%",0,0,"0%",0,0.0,0,"0.0%",1,13,15.4,1.2,"6.2%",1,114
Frank Gore,2019,26,33,1.3,2,"56.5%",0,0,"0%",0,0.0,0,"0.0%",0,16,15.3,1.0,"12.1%",2,33
Mike Boone,2019,8,32,4.0,2,"9.4%",0,0,"0%",0,0.0,0,"0.0%",0,16,15.2,1.0,"0.0%",2,32
Justice Hill,2019,9,53,5.9,1,"12.5%",2,2,"100.0%",15,7.5,0,"20.0%",0,16,14.8,0.9,"2.1%",1,68
Kerryon Johnson,2019,18,45,2.5,2,"42.9%",0,1,"0.0%",0,0.0,0,"20.0%",1,8,14.5,1.8,"0.0%",2,45
Derrius Guice,2019,7,11,1.6,2,"18.4%",1,1,"100.0%",4,4.0,0,"7.7%",0,5,14.5,2.9,"1.1%",2,15
Dontrell Hilliard,2019,5,22,4.4,2,"8.5%",0,1,"0.0%",0,0.0,0,"14.3%",0,14,14.2,1.0,"0.0%",2,22
Gus Edwards,2019,23,62,2.7,1,"31.9%",1,1,"100.0%",6,6.0,0,"10.0%",0,16,13.8,0.9,"75.4%",1,68
Wes Hills,2019,3,5,1.7,2,"7.1%",0,0,"0%",0,0.0,0,"0.0%",0,1,12.5,12.5,"0.0%",2,5
Dion Lewis,2019,2,10,5.0,0,"4.8%",3,5,"60.0%",23,7.7,1,"71.4%",0,16,12.3,0.8,"2.0%",1,33
Tony Pollard,2019,2,26,13.0,1,"3.3%",3,6,"50.0%",7,2.3,0,"37.5%",0,15,12.3,0.8,"87.2%",1,33
Patrick Laird,2019,9,19,2.1,1,"17.3%",2,5,"40.0%",20,10.0,0,"31.3%",0,15,11.9,0.8,"0.0%",1,39
Ito Smith,2019,9,18,2.0,1,"18.0%",2,3,"66.7%",15,7.5,0,"23.1%",0,7,11.3,1.6,"0.0%",1,33
Giovani Bernard,2019,9,25,2.8,0,"20.0%",5,7,"71.4%",35,7.0,0,"46.7%",0,16,11.0,0.7,"0.0%",0,60
Matt Breida,2019,5,5,1.0,0,"8.2%",2,2,"100.0%",20,10.0,1,"10.5%",0,13,10.5,0.8,"0.1%",1,25
Benny Snell,2019,17,41,2.4,1,"34.7%",0,0,"0%",0,0.0,0,"0.0%",0,13,10.1,0.8,"0.0%",1,41
Darwin Thompson,2019,10,14,1.4,1,"17.9%",1,1,"100.0%",7,7.0,0,"5.6%",0,12,9.1,0.8,"0.0%",1,21
Alec Ingold,2019,2,2,1.0,0,"3.6%",2,2,"100.0%",8,4.0,1,"20.0%",0,16,9.0,0.6,"0.1%",1,10
CJ Ham,2019,2,-1,-0.5,0,"2.4%",2,4,"50.0%",7,3.5,1,"50.0%",0,16,8.6,0.5,"0.1%",1,6
Ameer Abdullah,2019,1,-1,-1.0,0,"1.2%",1,1,"100.0%",16,16.0,1,"12.5%",0,16,8.5,0.5,"0.5%",1,15
Jonathan Williams,2019,8,25,3.1,1,"13.8%",0,0,"0%",0,0.0,0,"0.0%",0,9,8.5,0.9,"0.0%",1,25
Bo Scarbrough,2019,6,23,3.8,1,"14.3%",0,0,"0%",0,0.0,0,"0.0%",0,6,8.3,1.4,"0.0%",1,23
Troymaine Pope,2019,2,-1,-0.5,0,"3.6%",1,1,"100.0%",13,13.0,1,"4.5%",0,14,8.2,0.6,"0.0%",1,12
Javorius Allen,2019,2,20,10.0,1,"4.5%",0,0,"0%",0,0.0,0,"0.0%",0,11,8.0,0.7,"0.1%",1,20
Ryquell Armstead,2019,6,3,0.5,0,"11.5%",1,1,"100.0%",7,7.0,1,"8.3%",0,16,8.0,0.5,"0.2%",1,10
Alex Armah,2019,2,1,0.5,1,"3.5%",1,1,"100.0%",4,4.0,0,"7.1%",0,16,7.5,0.5,"0.0%",1,5
Andy Janovich,2019,1,1,1.0,1,"1.8%",1,1,"100.0%",3,3.0,0,"6.3%",0,8,7.4,0.9,"0.0%",1,4
CJ Prosise,2019,4,14,3.5,1,"7.0%",0,0,"0%",0,0.0,0,"0.0%",0,9,7.4,0.8,"0.0%",1,14
Myles Gaskin,2019,5,4,0.8,1,"9.6%",1,2,"50.0%",0,0.0,0,"12.5%",0,7,7.4,1.1,"0.1%",1,4
Patrick Ricard,2019,0,0,0.0,0,"0.0%",1,1,"100.0%",1,1.0,1,"10.0%",0,16,7.1,0.4,"0.1%",1,1
Derek Watt,2019,4,8,2.0,1,"7.1%",0,1,"0.0%",0,0.0,0,"4.5%",0,16,6.8,0.4,"0.0%",1,8
Chris Thompson,2019,6,13,2.2,0,"15.8%",2,5,"40.0%",22,11.0,0,"38.5%",0,11,5.5,0.5,"0.0%",0,35
Cordarrelle Patterson,2019,3,5,1.7,0,"8.3%",3,5,"60.0%",6,2.0,0,"27.8%",0,16,4.1,0.3,"0.9%",0,11
Justin Jackson,2019,5,9,1.8,0,"8.9%",2,3,"66.7%",9,4.5,0,"13.6%",0,7,3.8,0.5,"0.0%",0,18
Jalen Richard,2019,2,7,3.5,0,"3.6%",2,3,"66.7%",9,4.5,0,"30.0%",0,16,3.6,0.2,"1.0%",0,16
Darren Sproles,2019,2,6,3.0,0,"3.3%",2,2,"100.0%",9,4.5,0,"14.3%",0,6,3.5,0.6,"0.1%",0,15
JD McKissic,2019,5,19,3.8,0,"11.9%",1,2,"50.0%",3,3.0,0,"40.0%",0,16,3.2,0.2,"0.0%",0,22
Anthony Sherman,2019,1,5,5.0,0,"1.8%",1,1,"100.0%",15,15.0,0,"5.6%",0,16,3.0,0.2,"0.0%",0,20
Wendell Smallwood,2019,2,0,0.0,0,"5.3%",2,4,"50.0%",9,4.5,0,"30.8%",0,15,2.9,0.2,"0.0%",0,9
Ty Montgomery,2019,1,0,0.0,0,"4.0%",2,2,"100.0%",7,3.5,0,"15.4%",0,16,2.7,0.2,"0.0%",0,7
Ty Johnson,2019,7,16,2.3,0,"16.7%",1,1,"100.0%",1,1.0,0,"20.0%",0,16,2.7,0.2,"0.6%",0,17
Travis Homer,2019,4,1,0.3,0,"7.0%",1,1,"100.0%",10,10.0,0,"16.7%",0,16,2.1,0.1,"0.1%",0,11
Spencer Ware,2019,2,6,3.0,0,"3.6%",1,2,"50.0%",3,3.0,0,"11.1%",0,3,1.9,0.6,"0.0%",0,9
Bilal Powell,2019,5,4,0.8,0,"20.0%",1,2,"50.0%",5,5.0,0,"15.4%",0,14,1.9,0.1,"0.0%",0,9
Mike Davis,2019,0,0,0.0,0,"0.0%",1,2,"50.0%",5,5.0,0,"11.1%",0,12,1.5,0.1,"1.0%",0,5
Khari Blasingame,2019,0,0,0.0,0,"0.0%",1,1,"100.0%",0,0.0,0,"14.3%",0,6,1.0,0.2,"0.1%",0,0
Devontae Booker,2019,0,0,0.0,0,"0.0%",1,1,"100.0%",-1,-1.0,0,"6.3%",0,16,0.9,0.1,"0.0%",0,-1
Elijhaa Penny,2019,2,6,3.0,0,"4.5%",0,0,"0%",0,0.0,0,"0.0%",0,16,0.6,0.0,"0.0%",0,6
Dwayne Washington,2019,1,5,5.0,0,"2.1%",0,0,"0%",0,0.0,0,"0.0%",0,16,0.5,0.0,"0.0%",0,5
Keith Smith,2019,2,5,2.5,0,"4.0%",0,0,"0%",0,0.0,0,"0.0%",0,16,0.5,0.0,"0.0%",0,5
Darrell Henderson,2019,2,4,2.0,0,"3.0%",0,0,"0%",0,0.0,0,"0.0%",0,13,0.4,0.0,"5.0%",0,4
Kerrith Whyte,2019,2,4,2.0,0,"4.1%",0,0,"0%",0,0.0,0,"0.0%",0,6,0.4,0.1,"0.0%",0,4
Danny Vitale,2019,1,3,3.0,0,"2.2%",0,1,"0.0%",0,0.0,0,"5.0%",0,15,0.3,0.0,"0.0%",0,3
Dalyn Dawkins,2019,2,3,1.5,0,"4.8%",0,0,"0%",0,0.0,0,"0.0%",0,2,0.3,0.2,"0.1%",0,3
Jay Ajayi,2019,2,2,1.0,0,"3.3%",0,0,"0%",0,0.0,0,"0.0%",0,4,0.2,0.1,"7.0%",0,2
TJ Logan,2019,1,2,2.0,0,"2.1%",0,0,"0%",0,0.0,0,"0.0%",0,12,0.2,0.0,"0.0%",0,2
Tra Carson,2019,1,2,2.0,0,"2.2%",0,0,"0%",0,0.0,0,"0.0%",0,4,0.2,0.1,"0.0%",0,2
Trey Edmunds,2019,4,2,0.5,0,"8.2%",0,0,"0%",0,0.0,0,"0.0%",0,12,0.2,0.0,"0.0%",0,2
Tony Brooks-James,2019,1,2,2.0,0,"2.0%",0,0,"0%",0,0.0,0,"0.0%",0,3,0.2,0.1,"0.0%",0,2
Zach Zenner,2019,1,1,1.0,0,"2.4%",0,0,"0%",0,0.0,0,"0.0%",0,6,0.1,0.0,"0.0%",0,1
James Develin,2019,1,1,1.0,0,"1.5%",0,0,"0%",0,0.0,0,"0.0%",0,2,0.1,0.1,"0.0%",0,1
CJ Anderson,2019,2,1,0.5,0,"4.8%",0,0,"0%",0,0.0,0,"0.0%",0,2,0.1,0.1,"1.0%",0,1
Michael Burton,2019,0,0,0.0,0,"0.0%",0,1,"0.0%",0,0.0,0,"7.7%",0,11,0.0,0.0,"0.0%",0,0
Brandin Bryant,2019,0,0,0.0,0,"0.0%",0,0,"0%",0,0.0,0,"0.0%",0,4,0.0,0.0,"0.0%",0,0
Zach Line,2019,1,0,0.0,0,"2.1%",0,0,"0%",0,0.0,0,"0.0%",0,12,0.0,0.0,"0.0%",0,0
Roosevelt Nix,2019,0,0,0.0,0,"0.0%",0,1,"0.0%",0,0.0,0,"7.1%",0,3,0.0,0.0,"0.0%",0,0
Nick Bawden,2019,0,0,0.0,0,"0.0%",0,1,"0.0%",0,0.0,0,"20.0%",0,10,0.0,0.0,"0.0%",0,0
Mark Walton,2019,3,-3,-1.0,0,"5.8%",0,1,"0.0%",0,0.0,0,"6.3%",0,7,-0.3,0.0,"2.0%",0,-3
Jon Hilliman,2019,3,9,3.0,0,"6.8%",0,0,"0%",0,0.0,0,"0.0%",1,3,-1.1,-0.4,"0.0%",0,9
TJ Yeldon,2019,2,2,1.0,0,"4.3%",0,1,"0.0%",0,0.0,0,"16.7%",1,6,-1.8,-0.3,"0.0%",0,2
Alvin Kamara,2020,45,144,3.2,15,"62.5%",12,17,"70.6%",98,8.2,4,"73.9%",0,15,150.2,10.0,"97.1%",19,242
Dalvin Cook,2020,64,257,4.0,13,"71.1%",2,2,"100.0%",16,8.0,0,"33.3%",0,14,107.3,7.7,"0.7%",13,273
Derrick Henry,2020,59,185,3.1,12,"80.8%",1,1,"100.0%",5,5.0,0,"11.1%",0,16,92.0,5.8,"99.9%",12,190
Nick Chubb,2020,32,139,4.3,11,"42.1%",2,2,"100.0%",11,5.5,0,"16.7%",0,12,83.0,6.9,"82.9%",11,150
Kareem Hunt,2020,41,113,2.8,6,"53.9%",7,9,"77.8%",45,6.4,4,"75.0%",0,16,82.8,5.2,"0.7%",10,158
James Robinson,2020,31,119,3.8,7,"91.2%",6,6,"100.0%",49,8.2,3,"50.0%",1,14,80.8,5.8,"0.0%",10,168
Josh Jacobs,2020,63,163,2.6,10,"74.1%",0,3,"0.0%",0,0.0,0,"23.1%",1,15,74.3,5.0,"99.0%",10,163
Mike Davis,2020,41,99,2.4,6,"64.1%",8,11,"72.7%",29,3.6,2,"64.7%",0,15,68.8,4.6,"1.0%",8,128
Antonio Gibson,2020,28,98,3.5,9,"48.3%",2,3,"66.7%",12,6.0,0,"21.4%",0,14,67.0,4.8,"32.7%",9,110
Kenyan Drake,2020,55,117,2.1,9,"78.6%",1,2,"50.0%",3,3.0,0,"15.4%",0,15,67.0,4.5,"0.0%",9,120
D'Andre Swift,2020,18,41,2.3,7,"26.1%",6,9,"66.7%",39,6.5,2,"69.2%",1,13,66.0,5.1,"92.0%",9,80
Aaron Jones,2020,36,100,2.8,6,"55.4%",5,10,"50.0%",21,4.2,2,"66.7%",0,14,65.1,4.7,"94.7%",8,121
David Montgomery,2020,42,126,3.0,6,"79.2%",5,10,"50.0%",30,6.0,1,"55.6%",0,15,62.6,4.2,"93.4%",7,156
Jonathan Taylor,2020,40,89,2.2,8,"53.3%",4,6,"66.7%",10,2.5,0,"33.3%",0,15,61.9,4.1,"99.9%",8,99
Ezekiel Elliott,2020,42,96,2.3,5,"75.0%",6,7,"85.7%",37,6.2,2,"50.0%",0,15,61.3,4.1,"80.7%",7,133
David Johnson,2020,18,60,3.3,5,"66.7%",8,11,"72.7%",42,5.3,2,"52.4%",0,12,60.2,5.0,"0.0%",7,102
Chris Carson,2020,19,75,3.9,4,"40.4%",5,6,"83.3%",52,10.4,3,"60.0%",0,12,59.7,5.0,"0.3%",7,127
Melvin GordonI,2020,25,95,3.8,7,"73.5%",1,3,"33.3%",16,16.0,1,"37.5%",1,15,58.1,3.9,"0.0%",8,111
Todd Gurley,2020,48,92,1.9,8,"77.4%",0,0,"0%",0,0.0,0,"0.0%",0,15,57.2,3.8,"0.1%",8,92
Giovani Bernard,2020,19,57,3.0,3,"35.8%",9,11,"81.8%",58,6.4,3,"55.0%",0,16,56.5,3.5,"0.0%",6,115
Jeff Wilson,2020,22,78,3.5,6,"34.9%",2,3,"66.7%",35,17.5,1,"15.0%",0,12,55.3,4.6,"0.6%",7,113
Jerick McKinnon,2020,17,71,4.2,5,"27.0%",6,6,"100.0%",38,6.3,1,"30.0%",0,16,52.9,3.3,"0.6%",6,109
Nyheim Hines,2020,27,79,2.9,3,"36.0%",8,10,"80.0%",53,6.6,2,"55.6%",0,16,51.2,3.2,"0.8%",5,132
JK Dobbins,2020,26,89,3.4,7,"39.4%",0,1,"0.0%",0,0.0,0,"10.0%",0,15,50.9,3.4,"54.8%",7,89
James Conner,2020,27,68,2.5,6,"52.9%",3,5,"60.0%",17,5.7,0,"62.5%",0,13,47.5,3.7,"91.2%",6,85
Kyle Juszczyk,2020,5,17,3.4,2,"7.9%",6,9,"66.7%",35,5.8,4,"45.0%",0,16,47.2,3.0,"0.7%",6,52
Chase Edmonds,2020,15,46,3.1,0,"21.4%",10,11,"90.9%",78,7.8,4,"84.6%",0,16,46.4,2.9,"0.5%",4,124
Leonard Fournette,2020,20,42,2.1,5,"37.7%",7,8,"87.5%",39,5.6,0,"44.4%",0,13,45.1,3.5,"2.1%",5,81
Adrian Peterson,2020,34,83,2.4,6,"49.3%",0,1,"0.0%",0,0.0,0,"7.7%",0,16,44.3,2.8,"2.4%",6,83
Wayne Gallman,2020,19,40,2.1,6,"48.7%",4,5,"80.0%",1,0.3,0,"29.4%",0,15,44.1,2.9,"0.0%",6,41
Darrell Henderson,2020,32,88,2.8,4,"41.6%",3,4,"75.0%",20,6.7,1,"44.4%",0,15,43.8,2.9,"5.0%",5,108
Christian McCaffrey,2020,14,52,3.7,5,"21.9%",1,1,"100.0%",9,9.0,1,"5.9%",0,3,43.1,14.4,"100.0%",6,61
Gus Edwards,2020,25,75,3.0,6,"37.9%",1,1,"100.0%",2,2.0,0,"10.0%",1,16,42.7,2.7,"75.4%",6,77
Rex Burkhead,2020,13,45,3.5,3,"25.0%",3,6,"50.0%",30,10.0,2,"40.0%",0,10,40.5,4.1,"10.0%",5,75
Ronald Jones,2020,30,83,2.8,5,"56.6%",1,4,"25.0%",9,9.0,0,"22.2%",0,14,40.2,2.9,"0.0%",5,92
Myles Gaskin,2020,34,99,2.9,2,"47.2%",6,7,"85.7%",46,7.7,1,"70.0%",0,10,38.5,3.9,"0.1%",3,145
Zack Moss,2020,28,68,2.4,4,"54.9%",1,2,"50.0%",4,4.0,1,"20.0%",0,13,38.2,2.9,"83.9%",5,72
Clyde Edwards-Helaire,2020,29,89,3.1,3,"87.9%",3,6,"50.0%",20,6.7,1,"66.7%",0,13,37.9,2.9,"5.5%",4,109
Malcolm Brown,2020,19,55,2.9,5,"24.7%",2,4,"50.0%",1,0.5,0,"44.4%",0,16,37.6,2.4,"0.0%",5,56
Latavius Murray,2020,25,91,3.6,3,"34.7%",4,5,"80.0%",33,8.3,0,"21.7%",0,15,34.4,2.3,"0.0%",3,124
Miles Sanders,2020,25,94,3.8,4,"52.1%",1,1,"100.0%",11,11.0,0,"16.7%",1,12,33.5,2.8,"5.3%",4,105
Tony Pollard,2020,13,32,2.5,2,"23.2%",5,7,"71.4%",34,6.8,1,"50.0%",0,16,29.6,1.9,"87.2%",3,66
Jamaal Williams,2020,22,67,3.0,2,"33.8%",3,3,"100.0%",8,2.7,1,"20.0%",0,14,28.5,2.0,"2.8%",3,75
Benny Snell,2020,21,20,1.0,4,"41.2%",1,3,"33.3%",13,13.0,0,"37.5%",0,16,28.3,1.8,"0.0%",4,33
Austin Ekeler,2020,15,66,4.4,1,"25.4%",6,7,"85.7%",35,5.8,1,"35.0%",0,10,28.1,2.8,"84.3%",2,101
Peyton Barber,2020,16,28,1.8,4,"27.6%",0,0,"0%",0,0.0,0,"0.0%",0,16,26.8,1.7,"1.0%",4,28
Cam Akers,2020,26,74,2.8,2,"33.8%",1,1,"100.0%",4,4.0,1,"11.1%",0,12,26.8,2.2,"0.8%",3,78
Dion Lewis,2020,6,25,4.2,2,"15.4%",4,5,"80.0%",12,3.0,1,"29.4%",0,16,25.7,1.6,"2.0%",3,37
Jordan Howard,2020,11,11,1.0,4,"22.9%",0,0,"0%",0,0.0,0,"0.0%",0,7,25.1,3.6,"0.0%",4,11
DeeJay Dallas,2020,12,20,1.7,2,"25.5%",3,3,"100.0%",9,3.0,1,"30.0%",0,12,23.9,2.0,"0.1%",3,29
JD McKissic,2020,14,29,2.1,1,"24.1%",5,11,"45.5%",32,6.4,1,"78.6%",0,16,23.1,1.4,"0.0%",2,61
Kerryon Johnson,2020,9,26,2.9,2,"13.0%",1,2,"50.0%",9,9.0,1,"15.4%",0,16,22.5,1.4,"0.0%",3,35
Samaje Perine,2020,15,32,2.1,2,"28.3%",5,5,"100.0%",21,4.2,0,"25.0%",0,16,22.3,1.4,"0.9%",2,53
