"Player","year","rz_REC","rz_TGT","rz_REC PCT","rz_YDS_rush","rz_Y/R","rz_TD_rush","rz_TGT PCT","rz_ATT","rz_YDS_rec","rz_TD_rec","rz_PCT","rz_FL","rz_G","rz_FPTS","rz_FPTS/G","rz_ROST %","rz_TD_total","rz_YDS_total"
Codey McElroy,2021,0,1,"0.0%",0,0.0,0,"2.9%",0,0,0,"0%",0,2,0.0,0.0,"0.0%",0,0
Darrell Daniels,2021,0,1,"0.0%",0,0.0,0,"5.0%",0,0,0,"0.0%",0,10,0.0,0.0,"0.0%",0,0
James O'Shaughnessy,2021,0,0,"0%",0,0.0,0,"0.0%",0,0,0,"0%",0,7,0.0,0.0,"0.0%",0,0
Shane Zylstra,2021,0,2,"0.0%",0,0.0,0,"14.3%",0,0,0,"0%",0,3,0.0,0.0,"0.0%",0,0
Travis Kelce,2022,17,29,"58.6%",102,6.0,10,"74.4%",2,5,0,"66.7%",0,17,87.7,5.2,"99.9%",10,107
Taysom Hill,2022,2,3,"66.7%",8,4.0,1,"17.6%",18,69,6,"100.0%",0,16,51.7,3.2,"16.2%",7,77
TJ Hockenson,2022,12,20,"60.0%",74,6.2,5,"66.7%",0,0,0,"0%",0,17,49.4,2.9,"78.6%",5,74
Mark Andrews,2022,11,18,"61.1%",68,6.2,5,"48.6%",0,0,0,"0%",0,15,47.8,3.2,"99.8%",5,68
Mike Gesicki,2022,9,12,"75.0%",77,8.6,5,"80.0%",0,0,0,"0.0%",0,17,46.7,2.7,"3.4%",5,77
Juwan Johnson,2022,7,11,"63.6%",73,10.4,5,"64.7%",0,0,0,"0.0%",0,16,44.3,2.8,"5.5%",5,73
Dalton Schultz,2022,8,16,"50.0%",59,7.4,5,"76.2%",0,0,0,"0.0%",0,15,43.9,2.9,"76.8%",5,59
Cole Kmet,2022,7,9,"77.8%",49,7.0,5,"64.3%",0,0,0,"0%",0,17,41.9,2.5,"64.2%",5,49
David Njoku,2022,11,19,"57.9%",77,7.0,3,"65.5%",0,0,0,"0%",0,14,36.7,2.6,"92.1%",3,77
Zach Ertz,2022,8,15,"53.3%",42,5.3,4,"93.8%",0,0,0,"0%",0,10,36.2,3.6,"2.5%",4,42
Dawson Knox,2022,6,10,"60.0%",48,8.0,4,"83.3%",0,0,0,"0%",0,15,34.8,2.3,"3.8%",4,48
Gerald Everett,2022,9,16,"56.3%",64,7.1,3,"69.6%",0,0,0,"0%",0,15,33.4,2.2,"0.7%",3,64
Noah Fant,2022,6,9,"66.7%",25,4.2,4,"40.9%",0,0,0,"0%",0,17,32.5,1.9,"15.6%",4,25
Tyler Higbee,2022,8,15,"53.3%",61,7.6,3,"93.8%",0,0,0,"0%",0,16,32.1,2.0,"1.4%",3,61
Shane Zylstra,2022,4,4,"100.0%",12,3.0,4,"40.0%",0,0,0,"0%",0,9,29.2,3.2,"0.0%",4,12
George Kittle,2022,6,13,"46.2%",48,8.0,3,"100.0%",0,0,0,"0%",0,15,28.8,1.9,"98.5%",3,48
Daniel Bellinger,2022,5,6,"83.3%",47,9.4,2,"75.0%",1,2,1,"100.0%",0,11,27.9,2.5,"0.5%",3,49
Brock Wright,2022,5,5,"100.0%",34,6.8,3,"50.0%",0,0,0,"0%",0,14,26.4,1.9,"0.2%",3,34
MyCole Pruitt,2022,5,6,"83.3%",24,4.8,3,"42.9%",0,0,0,"0%",0,10,25.4,2.5,"0.0%",3,24
Jelani Woods,2022,4,4,"100.0%",29,7.3,3,"36.4%",0,0,0,"0%",0,12,24.9,2.1,"1.0%",3,29
Pat Freiermuth,2022,6,12,"50.0%",61,10.2,2,"80.0%",0,0,0,"0%",0,15,24.1,1.6,"69.2%",2,61
Tyler Conklin,2022,3,5,"60.0%",20,6.7,3,"71.4%",1,1,0,"100.0%",0,17,23.1,1.4,"17.0%",3,21
Dallas Goedert,2022,6,8,"75.0%",48,8.0,2,"72.7%",0,0,0,"0%",0,12,22.8,1.9,"86.8%",2,48
Peyton Hendershot,2022,2,2,"100.0%",22,11.0,2,"9.5%",1,2,1,"100.0%",0,12,22.4,1.9,"0.1%",3,24
Austin Hooper,2022,5,7,"71.4%",53,10.6,2,"38.9%",0,0,0,"0%",0,17,22.3,1.3,"0.2%",2,53
Will Dissly,2022,5,6,"83.3%",47,9.4,2,"27.3%",0,0,0,"0%",0,15,21.7,1.4,"0.6%",2,47
Jordan Akins,2022,5,9,"55.6%",36,7.2,2,"47.4%",0,0,0,"0%",0,15,20.6,1.4,"0.1%",2,36
Hayden Hurst,2022,5,8,"62.5%",35,7.0,2,"72.7%",0,0,0,"0%",0,14,20.5,1.5,"1.6%",2,35
Isaiah Likely,2022,5,9,"55.6%",24,4.8,2,"24.3%",0,0,0,"0%",0,14,19.4,1.4,"13.3%",2,24
Evan Engram,2022,4,9,"44.4%",30,7.5,2,"75.0%",1,0,0,"100.0%",0,17,19.0,1.1,"95.5%",2,30
Tommy Tremble,2022,4,7,"57.1%",26,6.5,2,"77.8%",0,0,0,"0%",0,15,18.6,1.2,"0.2%",2,26
Cade Otton,2022,5,15,"33.3%",14,2.8,2,"71.4%",0,0,0,"0%",0,16,18.4,1.2,"17.6%",2,14
Josh Oliver,2022,4,10,"40.0%",24,6.0,2,"27.0%",0,0,0,"0%",0,12,18.4,1.5,"0.2%",2,24
Irv Smith,2022,4,6,"66.7%",20,5.0,2,"20.0%",0,0,0,"0%",0,8,18.0,2.3,"0.1%",2,20
Noah Gray,2022,3,4,"75.0%",28,9.3,1,"10.3%",1,1,1,"33.3%",0,17,17.9,1.1,"0.8%",2,29
Chigoziem Okonkwo,2022,3,6,"50.0%",28,9.3,2,"33.3%",0,0,0,"0%",0,16,17.8,1.1,"15.2%",2,28
Jake Ferguson,2022,3,3,"100.0%",15,5.0,2,"14.3%",0,0,0,"0.0%",0,11,16.5,1.5,"91.4%",2,15
Mo Alie-Cox,2022,2,4,"50.0%",21,10.5,2,"36.4%",0,0,0,"0%",0,14,16.1,1.2,"0.1%",2,21
Kyle Pitts,2022,3,5,"60.0%",9,3.0,2,"35.7%",0,0,0,"0%",0,10,15.9,1.6,"95.4%",2,9
Robert Tonyan,2022,6,9,"66.7%",37,6.2,1,"75.0%",0,0,0,"0%",0,17,15.7,0.9,"0.0%",1,37
Jody Fortson,2022,2,5,"40.0%",11,5.5,2,"12.8%",0,0,0,"0.0%",0,10,15.1,1.5,"0.0%",2,11
Durham Smythe,2022,2,3,"66.7%",9,4.5,1,"20.0%",2,1,1,"100.0%",0,13,15.0,1.2,"0.2%",2,10
Teagan Quitoriano,2022,2,5,"40.0%",10,5.0,2,"26.3%",0,0,0,"0%",0,7,15.0,2.1,"0.0%",2,10
Foster Moreau,2022,2,6,"33.3%",9,4.5,2,"42.9%",0,0,0,"0%",0,14,14.9,1.1,"0.1%",2,9
Logan Thomas,2022,5,8,"62.5%",35,7.0,1,"66.7%",0,0,0,"0%",0,13,14.5,1.1,"0.6%",1,35
Marcedes Lewis,2022,2,2,"100.0%",3,1.5,2,"16.7%",0,0,0,"0%",0,6,14.3,2.4,"0.1%",2,3
Darren Waller,2022,4,8,"50.0%",28,7.0,1,"57.1%",0,0,0,"0%",0,9,12.8,1.4,"3.4%",1,28
Harrison Bryant,2022,3,8,"37.5%",14,4.7,1,"27.6%",0,0,0,"0%",0,14,10.4,0.7,"0.0%",1,14
Colby Parkinson,2022,2,6,"33.3%",19,9.5,1,"27.3%",0,0,0,"0%",0,14,9.9,0.7,"2.5%",1,19
Johnny Mundt,2022,2,3,"66.7%",18,9.0,1,"10.0%",0,0,0,"0%",0,13,9.8,0.8,"2.8%",1,18
Geoff Swaim,2022,3,5,"60.0%",7,2.3,1,"27.8%",0,0,0,"0%",0,12,9.7,0.8,"0.0%",1,7
Mitchell Wilcox,2022,2,2,"100.0%",15,7.5,1,"18.2%",0,0,0,"0%",0,9,9.5,1.1,"0.0%",1,15
Connor Heyward,2022,1,1,"100.0%",17,17.0,1,"6.7%",0,0,0,"0%",0,15,8.7,0.6,"0.2%",1,17
Blake Bell,2022,1,1,"100.0%",17,17.0,1,"2.6%",0,0,0,"0.0%",0,2,8.7,4.4,"0.0%",1,17
John Bates,2022,1,3,"33.3%",16,16.0,1,"25.0%",0,0,0,"0%",0,10,8.6,0.9,"0.0%",1,16
OJ Howard,2022,1,3,"33.3%",16,16.0,1,"15.8%",0,0,0,"0%",0,11,8.6,0.8,"0.0%",1,16
Chris Myarick,2022,2,2,"100.0%",5,2.5,1,"25.0%",0,0,0,"0.0%",0,10,8.5,0.9,"0.0%",1,5
Greg Dulcich,2022,1,2,"50.0%",11,11.0,1,"20.0%",0,0,0,"0%",0,10,8.1,0.8,"1.5%",1,11
Tyler Mabry,2022,1,1,"100.0%",7,7.0,1,"4.5%",0,0,0,"0%",0,1,7.7,7.7,"0.0%",1,7
Ko Kieft,2022,1,1,"100.0%",5,5.0,1,"4.8%",0,0,0,"0%",0,14,7.5,0.5,"0.0%",1,5
Trey McBride,2022,1,1,"100.0%",4,4.0,1,"6.3%",0,0,0,"0%",0,12,7.4,0.6,"98.1%",1,4
Quintin Morris,2022,2,2,"100.0%",14,7.0,1,"16.7%",0,0,0,"0%",1,9,7.4,0.8,"0.0%",1,14
Donald Parham,2022,1,2,"50.0%",3,3.0,1,"8.7%",0,0,0,"0%",0,6,7.3,1.2,"0.6%",1,3
James Mitchell,2022,1,1,"100.0%",3,3.0,1,"10.0%",0,0,0,"0%",0,8,7.3,0.9,"0.1%",1,3
Eric Tomlinson,2022,1,3,"33.3%",3,3.0,1,"30.0%",0,0,0,"0%",0,9,7.3,0.8,"0.0%",1,3
CJ Uzomah,2022,1,1,"100.0%",1,1.0,1,"14.3%",0,0,0,"0.0%",0,14,7.1,0.5,"0.1%",1,1
Jonnu Smith,2022,3,4,"75.0%",14,4.7,0,"36.4%",1,5,0,"100.0%",0,12,4.9,0.4,"4.7%",0,19
Albert Okwuegbunam,2022,2,2,"100.0%",19,9.5,0,"20.0%",0,0,0,"0%",0,6,3.9,0.7,"0.1%",0,19
Adam Trautman,2022,2,3,"66.7%",19,9.5,0,"17.6%",0,0,0,"0.0%",0,13,3.9,0.3,"0.1%",0,19
Ian Thomas,2022,2,2,"100.0%",9,4.5,0,"22.2%",0,0,0,"0%",0,14,2.9,0.2,"0.0%",0,9
Kylen Granson,2022,2,3,"66.7%",3,1.5,0,"27.3%",0,0,0,"0%",0,13,2.3,0.2,"0.1%",0,3
Hunter Henry,2022,1,7,"14.3%",13,13.0,0,"63.6%",0,0,0,"0.0%",0,16,2.3,0.1,"20.3%",0,13
Brycen Hopkins,2022,1,1,"100.0%",11,11.0,0,"6.3%",0,0,0,"0%",0,7,2.1,0.3,"0.0%",0,11
Josiah Deguara,2022,1,1,"100.0%",9,9.0,0,"8.3%",0,0,0,"0%",0,9,1.9,0.2,"0.0%",0,9
Cameron Brate,2022,1,4,"25.0%",8,8.0,0,"19.0%",0,0,0,"0%",0,9,1.8,0.2,"2.0%",0,8
Dan Arnold,2022,1,2,"50.0%",8,8.0,0,"16.7%",0,0,0,"0.0%",0,11,1.8,0.2,"0.0%",0,8
Eric Saubert,2022,1,3,"33.3%",7,7.0,0,"30.0%",0,0,0,"0%",0,14,1.7,0.1,"0.0%",0,7
Parker Hesse,2022,1,2,"50.0%",5,5.0,0,"14.3%",0,0,0,"0%",0,12,1.5,0.1,"0.0%",0,5
Pharaoh Brown,2022,1,2,"50.0%",5,5.0,0,"6.9%",0,0,0,"0%",0,9,1.5,0.2,"0.1%",0,5
Tre' McKitty,2022,1,3,"33.3%",3,3.0,0,"13.0%",0,0,0,"0%",0,13,1.3,0.1,"0.0%",0,3
Trevon Wesco,2022,1,2,"50.0%",3,3.0,0,"14.3%",0,0,0,"0%",0,6,1.3,0.2,"0.0%",0,3
Chris Manhertz,2022,1,1,"100.0%",3,3.0,0,"8.3%",0,0,0,"0.0%",0,8,1.3,0.2,"0.0%",0,3
Ben Ellefson,2022,1,1,"100.0%",2,2.0,0,"3.3%",0,0,0,"0%",0,2,1.2,0.6,"0.0%",0,2
Zach Gentry,2022,1,2,"50.0%",2,2.0,0,"13.3%",0,0,0,"0%",0,14,1.2,0.1,"0.0%",0,2
Ryan Griffin,2022,1,2,"50.0%",2,2.0,0,"14.3%",0,0,0,"0%",0,10,1.2,0.1,"0.0%",0,2
Drew Sample,2022,1,1,"100.0%",2,2.0,0,"9.1%",0,0,0,"0%",0,2,1.2,0.6,"0.1%",0,2
Grant Calcaterra,2022,1,2,"50.0%",-2,-2.0,0,"18.2%",0,0,0,"0%",0,6,0.8,0.1,"0.1%",0,-2
Anthony Firkser,2022,0,1,"0.0%",0,0.0,0,"7.1%",0,0,0,"0%",0,8,0.0,0.0,"0.0%",0,0
Kyle Rudolph,2022,0,1,"0.0%",0,0.0,0,"4.8%",0,0,0,"0%",0,5,0.0,0.0,"0.0%",0,0
Richard Rodgers,2022,0,2,"0.0%",0,0.0,0,"8.7%",0,0,0,"0%",0,3,0.0,0.0,"0.0%",0,0
Cole Turner,2022,0,1,"0.0%",0,0.0,0,"8.3%",0,0,0,"0%",0,7,0.0,0.0,"0.0%",0,0
Brevin Jordan,2022,0,2,"0.0%",0,0.0,0,"10.5%",0,0,0,"0%",0,9,0.0,0.0,"0.1%",0,0
Ross Dwelley,2022,0,0,"0%",0,0.0,0,"0.0%",0,0,0,"0%",0,5,0.0,0.0,"0.0%",0,0
Jack Stoll,2022,0,1,"0.0%",0,0.0,0,"9.1%",0,0,0,"0%",0,10,0.0,0.0,"0.0%",0,0
James Winchester,2022,0,0,"0%",0,0.0,0,"0.0%",0,0,0,"0.0%",0,3,0.0,0.0,"0.0%",0,0
Stephen Sullivan,2022,0,0,"0%",0,0.0,0,"0.0%",0,0,0,"0%",0,8,0.0,0.0,"0.0%",0,0
Sam LaPorta,2023,10,15,"66.7%",91,9.1,7,"93.8%",0,0,0,"0%",0,17,61.1,3.6,"99.9%",7,91
Mark Andrews,2023,10,14,"71.4%",77,7.7,6,"60.9%",1,0,0,"100.0%",0,10,53.7,5.4,"99.8%",6,77
Jake Ferguson,2023,12,24,"50.0%",92,7.7,5,"75.0%",0,0,0,"0.0%",0,17,51.2,3.0,"91.4%",5,92
Travis Kelce,2023,13,20,"65.0%",74,5.7,5,"83.3%",0,0,0,"0.0%",1,15,48.4,3.2,"99.9%",5,74
Cole Kmet,2023,10,13,"76.9%",61,6.1,5,"76.5%",1,1,0,"100.0%",0,17,46.2,2.7,"64.2%",5,62
Taysom Hill,2023,2,5,"40.0%",10,5.0,1,"22.7%",27,102,4,"100.0%",1,16,45.6,2.9,"16.2%",5,112
Dalton Schultz,2023,7,14,"50.0%",80,11.4,5,"70.0%",0,0,0,"0.0%",0,15,45.0,3.0,"76.8%",5,80
Hunter Henry,2023,5,6,"83.3%",53,10.6,5,"54.5%",0,0,0,"0%",0,14,40.3,2.9,"20.3%",5,53
TJ Hockenson,2023,9,14,"64.3%",58,6.4,4,"60.9%",0,0,0,"0%",0,15,38.8,2.6,"78.6%",4,58
Cade Otton,2023,8,11,"72.7%",58,7.3,4,"78.6%",0,0,0,"0%",0,17,37.8,2.2,"17.6%",4,58
George Kittle,2023,9,13,"69.2%",70,7.8,3,"86.7%",0,0,0,"0%",0,16,34.0,2.1,"98.5%",3,70
Donald Parham,2023,6,10,"60.0%",35,5.8,4,"43.5%",0,0,0,"0%",0,14,33.5,2.4,"0.6%",4,35
Jimmy Graham,2023,5,5,"100.0%",31,6.2,4,"22.7%",0,0,0,"0.0%",0,13,32.1,2.5,"0.0%",4,31
Logan Thomas,2023,4,9,"44.4%",28,7.0,4,"56.3%",0,0,0,"0%",0,16,30.8,1.9,"0.6%",4,28
David Njoku,2023,8,20,"40.0%",41,5.1,3,"80.0%",0,0,0,"0%",0,16,30.1,1.9,"92.1%",3,41
Gerald Everett,2023,8,11,"72.7%",35,4.4,3,"47.8%",0,0,0,"0%",0,15,29.5,2.0,"0.7%",3,35
Dallas Goedert,2023,6,10,"60.0%",46,7.7,3,"76.9%",1,1,0,"100.0%",0,14,28.7,2.1,"86.8%",3,47
Juwan Johnson,2023,7,8,"87.5%",36,5.1,3,"36.4%",0,0,0,"0.0%",0,13,28.6,2.2,"5.5%",3,36
Adam Trautman,2023,6,13,"46.2%",44,7.3,3,"81.3%",0,0,0,"0%",0,17,28.4,1.7,"0.1%",3,44
Harrison Bryant,2023,4,5,"80.0%",18,4.5,3,"20.0%",0,0,0,"0%",0,17,23.8,1.4,"0.0%",3,18
Isaiah Likely,2023,6,7,"85.7%",48,8.0,2,"30.4%",0,0,0,"0.0%",0,17,22.8,1.3,"13.3%",2,48
Tommy Tremble,2023,4,4,"100.0%",6,1.5,3,"40.0%",0,0,0,"0%",0,16,22.6,1.4,"0.2%",3,6
Trey McBride,2023,6,9,"66.7%",42,7.0,2,"42.9%",0,0,0,"0%",0,17,22.2,1.3,"98.1%",2,42
Michael Mayer,2023,5,7,"71.4%",46,9.2,2,"87.5%",0,0,0,"0%",0,14,21.6,1.5,"2.0%",2,46
Tucker Kraft,2023,5,8,"62.5%",27,5.4,2,"50.0%",0,0,0,"0%",0,17,19.7,1.2,"3.9%",2,27
Josh Oliver,2023,4,5,"80.0%",19,4.8,2,"21.7%",0,0,0,"0%",0,17,17.9,1.1,"0.2%",2,19
Evan Engram,2023,6,9,"66.7%",19,3.2,2,"64.3%",0,0,0,"0%",1,17,17.9,1.1,"95.5%",2,19
Tyler Higbee,2023,3,5,"60.0%",24,8.0,2,"62.5%",0,0,0,"0%",0,15,17.4,1.2,"1.4%",2,24
Pat Freiermuth,2023,3,6,"50.0%",24,8.0,2,"54.5%",0,0,0,"0%",0,12,17.4,1.5,"69.2%",2,24
Mo Alie-Cox,2023,3,4,"75.0%",23,7.7,2,"30.8%",0,0,0,"0%",0,17,17.3,1.0,"0.1%",2,23
Mike Gesicki,2023,3,5,"60.0%",20,6.7,2,"45.5%",0,0,0,"0%",0,17,17.0,1.0,"3.4%",2,20
Luke Schoonmaker,2023,3,5,"60.0%",19,6.3,2,"15.6%",0,0,0,"0.0%",0,17,16.9,1.0,"0.2%",2,19
Brevin Jordan,2023,2,2,"100.0%",16,8.0,2,"10.0%",0,0,0,"0.0%",0,13,15.6,1.2,"0.1%",2,16
Andrew Beck,2023,3,4,"75.0%",5,1.7,1,"20.0%",3,1,1,"100.0%",0,15,15.6,1.0,"0.1%",2,6
Jonnu Smith,2023,5,8,"62.5%",31,6.2,1,"47.1%",1,0,0,"100.0%",0,17,14.1,0.8,"4.7%",1,31
Luke Musgrave,2023,3,6,"50.0%",31,10.3,1,"37.5%",0,0,0,"0%",0,11,12.1,1.1,"33.8%",1,31
Darren Waller,2023,3,4,"75.0%",31,10.3,1,"57.1%",0,0,0,"0%",0,12,12.1,1.0,"3.4%",1,31
Brenton Strange,2023,3,4,"75.0%",28,9.3,1,"28.6%",0,0,0,"0%",0,14,11.8,0.8,"0.1%",1,28
Kylen Granson,2023,4,6,"66.7%",18,4.5,1,"46.2%",0,0,0,"0%",0,15,11.8,0.8,"0.1%",1,18
Irv Smith,2023,5,6,"83.3%",27,5.4,1,"42.9%",0,0,0,"0%",1,12,11.7,1.0,"0.1%",1,27
Tanner Hudson,2023,3,3,"100.0%",25,8.3,1,"21.4%",0,0,0,"0%",0,12,11.5,1.0,"0.2%",1,25
Hayden Hurst,2023,3,5,"60.0%",25,8.3,1,"50.0%",0,0,0,"0%",0,10,11.5,1.2,"1.6%",1,25
Charlie Kolar,2023,2,2,"100.0%",34,17.0,1,"8.7%",0,0,0,"0.0%",0,14,11.4,0.8,"0.0%",1,34
Drew Sample,2023,3,3,"100.0%",23,7.7,1,"21.4%",0,0,0,"0%",0,17,11.3,0.7,"0.1%",1,23
Colby Parkinson,2023,4,8,"50.0%",12,3.0,1,"72.7%",0,0,0,"0%",0,17,11.2,0.7,"2.5%",1,12
Chigoziem Okonkwo,2023,3,6,"50.0%",19,6.3,1,"50.0%",0,0,0,"0%",0,17,10.9,0.6,"15.2%",1,19
Zach Ertz,2023,3,8,"37.5%",17,5.7,1,"38.1%",0,0,0,"0%",0,7,10.7,1.5,"2.5%",1,17
Dawson Knox,2023,3,7,"42.9%",15,5.0,1,"38.9%",0,0,0,"0%",0,12,10.5,0.9,"3.8%",1,15
Kyle Pitts,2023,3,5,"60.0%",14,4.7,1,"29.4%",0,0,0,"0.0%",0,17,10.4,0.6,"95.4%",1,14
Foster Moreau,2023,3,4,"75.0%",13,4.3,1,"18.2%",0,0,0,"0.0%",0,15,10.3,0.7,"0.1%",1,13
Marcedes Lewis,2023,2,2,"100.0%",17,8.5,1,"11.8%",0,0,0,"0.0%",0,17,9.7,0.6,"0.1%",1,17
Johnny Mundt,2023,2,4,"50.0%",14,7.0,1,"17.4%",0,0,0,"0%",0,17,9.4,0.6,"2.8%",1,14
Davis Allen,2023,2,2,"100.0%",13,6.5,1,"25.0%",0,0,0,"0%",0,15,9.3,0.6,"0.1%",1,13
Elijah Higgins,2023,2,2,"100.0%",12,6.0,1,"9.5%",0,0,0,"0%",0,11,9.2,0.8,"0.1%",1,12
Josh Whyle,2023,2,5,"40.0%",12,6.0,1,"41.7%",0,0,0,"0%",0,11,9.2,0.8,"0.1%",1,12
MyCole Pruitt,2023,1,4,"25.0%",20,20.0,1,"23.5%",0,0,0,"0.0%",0,17,9.0,0.5,"0.0%",1,20
Ben Sims,2023,2,2,"100.0%",7,3.5,1,"12.5%",0,0,0,"0%",0,16,8.7,0.5,"0.1%",1,7
CJ Uzomah,2023,2,4,"50.0%",6,3.0,1,"33.3%",0,0,0,"0%",0,12,8.6,0.7,"0.1%",1,6
Quintin Morris,2023,1,2,"50.0%",15,15.0,1,"11.1%",0,0,0,"0%",0,15,8.5,0.6,"0.0%",1,15
Dalton Kincaid,2023,5,9,"55.6%",27,5.4,0,"50.0%",0,0,0,"0%",0,16,7.7,0.5,"96.6%",0,27
Drew Ogletree,2023,1,2,"50.0%",5,5.0,1,"15.4%",0,0,0,"0%",0,12,7.5,0.6,"0.1%",1,5
Blake Bell,2023,1,1,"100.0%",4,4.0,1,"4.2%",0,0,0,"0.0%",0,17,7.4,0.4,"0.0%",1,4
Lucas Krull,2023,1,2,"50.0%",3,3.0,1,"12.5%",0,0,0,"0%",0,7,7.3,1.0,"0.1%",1,3
Noah Gray,2023,1,3,"33.3%",2,2.0,1,"12.5%",1,1,0,"100.0%",0,17,7.3,0.4,"0.8%",1,3
Ko Kieft,2023,1,2,"50.0%",2,2.0,1,"14.3%",0,0,0,"0%",0,16,7.2,0.5,"0.0%",1,2
Tyler Conklin,2023,3,7,"42.9%",11,3.7,0,"58.3%",0,0,0,"0%",0,17,4.1,0.2,"17.0%",0,11
Robert Tonyan,2023,2,2,"100.0%",21,10.5,0,"11.8%",0,0,0,"0.0%",0,17,4.1,0.2,"0.0%",0,21
Geoff Swaim,2023,2,2,"100.0%",18,9.0,0,"9.5%",0,0,0,"0%",0,14,3.8,0.3,"0.0%",0,18
Cole Turner,2023,2,4,"50.0%",17,8.5,0,"25.0%",0,0,0,"0%",0,12,3.7,0.3,"0.0%",0,17
Durham Smythe,2023,2,5,"40.0%",14,7.0,0,"83.3%",0,0,0,"0%",0,16,3.4,0.2,"0.2%",0,14
Connor Heyward,2023,2,3,"66.7%",11,5.5,0,"27.3%",0,0,0,"0%",0,17,3.1,0.2,"0.2%",0,11
Jack Stoll,2023,1,2,"50.0%",14,14.0,0,"15.4%",0,0,0,"0.0%",0,17,2.4,0.1,"0.0%",0,14
Darnell Washington,2023,1,2,"50.0%",12,12.0,0,"18.2%",0,0,0,"0%",0,17,2.2,0.1,"0.2%",0,12
Payne Durham,2023,1,1,"100.0%",12,12.0,0,"7.1%",0,0,0,"0%",0,13,2.2,0.2,"0.0%",0,12
Ross Dwelley,2023,1,1,"100.0%",12,12.0,0,"6.7%",0,0,0,"0%",0,12,2.2,0.2,"0.0%",0,12
Noah Fant,2023,1,2,"50.0%",12,12.0,0,"18.2%",0,0,0,"0%",0,17,2.2,0.1,"15.6%",0,12
Mitchell Wilcox,2023,1,2,"50.0%",10,10.0,0,"14.3%",0,0,0,"0%",0,17,2.0,0.1,"0.0%",0,10
Grant Calcaterra,2023,1,1,"100.0%",9,9.0,0,"7.7%",0,0,0,"0.0%",0,14,1.9,0.1,"0.1%",0,9
Daniel Bellinger,2023,1,1,"100.0%",7,7.0,0,"14.3%",0,0,0,"0%",0,17,1.7,0.1,"0.5%",0,7
Kevin Rader,2023,1,1,"100.0%",6,6.0,0,"8.3%",0,0,0,"0%",0,14,1.6,0.1,"0.0%",0,6
Brycen Hopkins,2023,1,1,"100.0%",5,5.0,0,"12.5%",0,0,0,"0%",0,15,1.5,0.1,"0.0%",0,5
Austin Hooper,2023,1,1,"100.0%",4,4.0,0,"12.5%",0,0,0,"0%",0,17,1.4,0.1,"0.2%",0,4
Charlie Woerner,2023,1,1,"100.0%",3,3.0,0,"6.7%",0,0,0,"0%",0,17,1.3,0.1,"0.1%",0,3
Jeremy Ruckert,2023,1,1,"100.0%",3,3.0,0,"8.3%",0,0,0,"0%",0,15,1.3,0.1,"0.1%",0,3
Brock Wright,2023,1,1,"100.0%",2,2.0,0,"6.3%",0,0,0,"0%",0,14,1.2,0.1,"0.2%",0,2
John Bates,2023,1,3,"33.3%",0,0.0,0,"18.8%",0,0,0,"0%",0,17,1.0,0.1,"0.0%",0,0
Sean McKeon,2023,0,1,"0.0%",0,0.0,0,"3.1%",0,0,0,"0.0%",0,9,0.0,0.0,"0.0%",0,0
Luke Farrell,2023,0,1,"0.0%",0,0.0,0,"7.1%",0,0,0,"0%",0,17,0.0,0.0,"0.1%",0,0
Chris Manhertz,2023,0,1,"0.0%",0,0.0,0,"6.3%",0,0,0,"0%",0,16,0.0,0.0,"0.0%",0,0
James Mitchell,2023,0,0,"0%",0,0.0,0,"0.0%",0,0,0,"0%",0,14,0.0,0.0,"0.1%",0,0
Will Dissly,2023,0,1,"0.0%",0,0.0,0,"9.1%",0,0,0,"0%",0,16,0.0,0.0,"0.6%",0,0
Stone Smartt,2023,0,2,"0.0%",0,0.0,0,"8.7%",0,0,0,"0%",0,16,0.0,0.0,"0.0%",0,0
Will Mallory,2023,0,1,"0.0%",0,0.0,0,"7.7%",0,0,0,"0%",0,12,0.0,0.0,"0.0%",0,0
Peyton Hendershot,2023,0,2,"0.0%",0,0.0,0,"6.3%",1,0,0,"100.0%",0,8,0.0,0.0,"0.1%",0,0
Ian Thomas,2023,0,1,"0.0%",0,0.0,0,"10.0%",0,0,0,"0%",0,12,0.0,0.0,"0.0%",0,0
Julian Hill,2023,0,1,"0.0%",0,0.0,0,"16.7%",0,0,0,"0%",0,15,0.0,0.0,"0.0%",0,0
