Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,AVG
1,LeSean McCoy,,,RB1,,,,,,1.0
2,Jamaal Charles,,,RB2,,,,,,2.0
3,Adrian Peterson,,,RB3,,,,,,3.0
4,Eddie Lacy,,,RB4,,,,,,4.0
5,Calvin Johnson,,,WR1,,,,,,5.0
6,Jimmy Graham,,,TE1,,,,,,6.0
7,Matt Forte,,,RB5,,,,,,7.0
8,Demaryius Thomas,,,WR2,,,,,,8.0
9,Dez Bryant,,,WR3,,,,,,9.0
10,Montee Ball,,,RB6,,,,,,10.0
11,Peyton Manning,,,QB1,,,,,,11.0
12,A.J. Green,,,WR4,,,,,,12.0
13,Julio Jones,,,WR5,,,,,,13.0
14,DeMarco Murray,,,RB7,,,,,,14.0
15,Brandon Marshall,,,WR6,,,,,,15.0
16,Marshawn Lynch,,,RB8,,,,,,16.0
17,Giovani Bernard,,,RB9,,,,,,17.0
18,Antonio Brown,,,WR7,,,,,,18.0
19,Jordy Nelson,,,WR8,,,,,,19.0
20,Drew Brees,,,QB2,,,,,,20.0
21,Doug Martin,,,RB10,,,,,,21.0
22,Alshon Jeffery,,,WR9,,,,,,22.0
23,Aaron Rodgers,NYJ,11,QB3,,,,,,23.0
24,Andre Ellington,,,RB11,,,,,,24.0
25,Randall Cobb,,,WR10,,,,,,25.0
26,Arian Foster,,,RB12,,,,,,26.0
27,Julius Thomas,,,TE2,,,,,,27.0
28,Keenan Allen,CHI,9,WR11,,,,,,28.0
29,Le'Veon Bell,,,RB13,,,,,,29.0
30,Rob Gronkowski,,,TE3,,,,,,30.0
31,Shane Vereen,,,RB14,,,,,,31.0
32,Roddy White,,,WR12,,,,,,32.0
33,Zac Stacy,,,RB15,,,,,,33.0
34,Reggie Bush,,,RB16,,,,,,34.0
35,Alfred Morris,,,RB17,,,,,,35.0
36,Vincent Jackson,,,WR13,,,,,,36.0
37,Andre Johnson,,,WR14,,,,,,37.0
38,Cordarrelle Patterson,PIT,12,RB18,,,,,,38.0
39,Rashad Jennings,,,RB19,,,,,,39.0
40,Pierre Garcon,,,WR15,,,,,,40.0
41,Emmanuel Sanders,,,WR16,,,,,,41.0
42,Larry Fitzgerald,,,WR17,,,,,,42.0
43,C.J. Spiller,,,RB20,,,,,,43.0
44,Toby Gerhart,,,RB21,,,,,,44.0
45,Victor Cruz,,,WR18,,,,,,45.0
46,Joique Bell,,,RB22,,,,,,46.0
47,Matthew Stafford,LAR,,QB4,,,,,,47.0
48,Percy Harvin,,,WR19,,,,,,48.0
49,Michael Floyd,,,WR20,,,,,,49.0
50,Michael Crabtree,,,WR21,,,,,,50.0
51,Julian Edelman,,,WR22,,,,,,51.0
52,Ray Rice,,,RB23,,,,,,52.0
53,Ryan Mathews,,,RB24,,,,,,53.0
54,Jordan Cameron,,,TE4,,,,,,54.0
55,Andrew Luck,,,QB5,,,,,,55.0
56,Pierre Thomas,,,RB25,,,,,,56.0
57,Ben Tate,,,RB26,,,,,,57.0
58,Torrey Smith,,,WR23,,,,,,58.0
59,T.Y. Hilton,,,WR24,,,,,,59.0
60,Frank Gore,,,RB27,,,,,,60.0
61,Chris Johnson,,,RB28,,,,,,61.0
62,Tom Brady,,,QB6,,,,,,62.0
63,Kendall Wright,,,WR25,,,,,,63.0
64,Vernon Davis,,,TE5,,,,,,64.0
65,DeSean Jackson,,,WR26,,,,,,65.0
66,Jeremy Maclin,,,WR27,,,,,,66.0
67,Bishop Sankey,,,RB29,,,,,,67.0
68,Jason Witten,,,TE6,,,,,,68.0
69,Marques Colston,,,WR28,,,,,,69.0
70,Matt Ryan,,,QB7,,,,,,70.0
71,Wes Welker,,,WR29,,,,,,71.0
72,Kyle Rudolph,,,TE7,,,,,,72.0
73,Danny Woodhead,,,RB30,,,,,,73.0
74,Maurice Jones-Drew,,,RB31,,,,,,74.0
75,Golden Tate,,,WR30,,,,,,75.0
76,Brandin Cooks,DAL,11,WR31,,,,,,76.0
77,Nick Foles,,,QB8,,,,,,77.0
78,Trent Richardson,,,RB32,,,,,,78.0
79,Darren Sproles,,,RB33,,,,,,79.0
80,Mike Wallace,,,WR32,,,,,,80.0
81,Reggie Wayne,,,WR33,,,,,,81.0
82,Jordan Reed,,,TE8,,,,,,82.0
83,Fred Jackson,,,RB34,,,,,,83.0
84,Eric Decker,,,WR34,,,,,,84.0
85,Jay Cutler,,,QB9,,,,,,85.0
86,Knowshon Moreno,,,RB35,,,,,,86.0
87,Kelvin Benjamin,,,WR35,,,,,,87.0
88,Tony Romo,,,QB10,,,,,,88.0
89,Steven Jackson,,,RB36,,,,,,89.0
90,Terrance Williams,,,WR36,,,,,,90.0
91,Greg Olsen,,,TE9,,,,,,91.0
92,Dennis Pitta,,,TE10,,,,,,92.0
93,Seattle Seahawks,DST,4,DST1,,,,,,93.0
94,Carlos Hyde,,,RB37,,,,,,94.0
95,Jeremy Hill,,,RB38,,,,,,95.0
96,Lamar Miller,,,RB39,,,,,,96.0
97,Cam Newton,,,QB11,,,,,,97.0
98,Justin Hunter,,,WR37,,,,,,98.0
99,Zach Ertz,WAS,10,TE11,,,,,,99.0
100,Bernard Pierce,,,RB40,,,,,,100.0
101,Stevan Ridley,,,RB41,,,,,,101.0
102,Mike Evans,TB,7,WR38,,,,,,102.0
103,Philip Rivers,,,QB12,,,,,,103.0
104,Devonta Freeman,,,RB42,,,,,,104.0
105,Russell Wilson,PIT,12,QB13,,,,,,105.0
106,Riley Cooper,,,WR39,,,,,,106.0
107,Mark Ingram,II,,RB43,,,,,,107.0
108,Rueben Randle,,,WR40,,,,,,108.0
109,Colin Kaepernick,,,QB14,,,,,,109.0
110,Sammy Watkins,,,WR41,,,,,,110.0
111,DeAndre Hopkins,TEN,9,WR42,,,,,,111.0
112,Robert Griffin,III,,QB15,,,,,,112.0
113,Dwayne Bowe,,,WR43,,,,,,113.0
114,Andre Williams,,,RB44,,,,,,114.0
115,Terrance West,,,RB45,,,,,,115.0
116,Danny Amendola,,,WR44,,,,,,116.0
117,Anquan Boldin,,,WR45,,,,,,117.0
118,Martellus Bennett,,,TE12,,,,,,118.0
119,DeAngelo Williams,,,RB46,,,,,,119.0
120,Markus Wheaton,,,WR46,,,,,,120.0
121,Darren McFadden,,,RB47,,,,,,121.0
122,Steve Smith,,,WR47,,,,,,122.0
123,Andy Dalton,CAR,12,QB16,,,,,,123.0
124,Hakeem Nicks,,,WR48,,,,,,124.0
125,Ahmad Bradshaw,,,RB48,,,,,,125.0
126,New England Patriots,DST,10,DST2,,,,,,126.0
127,Jordan Matthews,CAR,12,WR49,,,,,,127.0
128,Jarrett Boykin,,,WR50,,,,,,128.0
129,Khiry Robinson,,,RB49,,,,,,129.0
130,Cecil Shorts,,,WR51,,,,,,130.0
131,Ben Roethlisberger,,,QB17,,,,,,131.0
132,Denver Broncos,DST,4,DST3,,,,,,132.0
133,Carson Palmer,,,QB18,,,,,,133.0
134,Lance Dunbar,,,RB50,,,,,,134.0
135,Charles Clay,,,TE13,,,,,,135.0
136,Los Angeles Rams,DST,,DST4,,,,,,136.0
137,Heath Miller,,,TE14,,,,,,137.0
138,Greg Jennings,,,WR52,,,,,,138.0
139,Shonn Greene,,,RB51,,,,,,139.0
140,Kenny Britt,,,WR53,,,,,,140.0
141,LeGarrette Blount,,,RB52,,,,,,141.0
142,Stephen Gostkowski,,,K1,,,,,,142.0
143,Jonathan Stewart,,,RB53,,,,,,143.0
144,Ladarius Green,,,TE15,,,,,,144.0
145,Aaron Dobson,,,WR54,,,,,,145.0
146,Kansas City Chiefs,DST,6,DST5,,,,,,146.0
147,Ryan Tannehill,,,QB19,,,,,,147.0
148,Houston Texans,DST,10,DST6,,,,,,148.0
149,Marqise,Lee,,WR55,,,,,,149.0
150,Travis Kelce,KC,6,TE16,,,,,,150.0
151,Tim Wright,,,TE17,,,,,,151.0
152,Chris Ivory,,,RB54,,,,,,152.0
153,Tavon Austin,,,WR56,,,,,,153.0
154,Cody Latimer,,,WR57,,,,,,154.0
155,Knile Davis,,,RB55,,,,,,155.0
156,Stephen Hauschka,,,K2,,,,,,156.0
157,Arizona Cardinals,DST,4,DST7,,,,,,157.0
158,Ronnie Hillman,,,RB56,,,,,,158.0
159,Mason Crosby,,,K3,,,,,,159.0
160,New Orleans Saints,DST,6,DST8,,,,,,160.0
161,Tampa Bay Buccaneers,DST,7,DST9,,,,,,161.0
162,Cleveland Browns,DST,4,DST10,,,,,,162.0
163,Justin Tucker,BAL,11,K4,,,,,,163.0
164,Matt Bryant,,,K5,,,,,,164.0
165,Adam Vinatieri,,,K6,,,,,,165.0